Date,Description,Amount
2026-01-03,Starbucks Coffee,5.75
2026-01-05,Uber ride,12.30
2026-01-07,Whole Foods Grocery,64.20
2026-01-10,Netflix Subscription,15.99
2026-01-12,Rent Payment,1200.00
2026-01-15,Amazon Purchase,49.99
2026-01-18,Spotify Subscription,9.99
2026-01-20,Shell Gas Station,38.50
2026-01-22,Pizza Hut,22.10
2026-01-25,Electric Bill,75.00
2026-02-02,Starbucks Coffee,6.10
2026-02-05,Uber ride,15.00
2026-02-08,Whole Foods Grocery,58.40
2026-02-10,Netflix Subscription,15.99
2026-02-12,Rent Payment,1200.00
2026-02-16,Target Shopping,89.30
2026-02-18,Spotify Subscription,9.99
2026-02-22,McDonald's,14.20
2026-02-25,Electric Bill,80.00
